i,explanation,fractional positions,,
ICD9CM:68.1,,1,,
ICD9CM:68.11,,2,,
ICD9CM:68.12,,2,,
ICD9CM:68.13,,2,,
ICD9CM:68.14,,2,,
ICD9CM:68.15,,2,,
ICD9CM:68.16,,2,,
ICD9CM:68.19,,2,,
ICD9CM:68.2,,1,,
ICD9CM:68.21,,2,,
ICD9CM:68.22,,2,,
ICD9CM:68.23,,2,,
ICD9CM:68.24,,2,,
ICD9CM:68.25,,2,,
ICD9CM:68.29,,2,,
ICD9CM:68.3,,1,,
ICD9CM:68.31,,2,,
ICD9CM:68.39,,2,,
ICD9CM:68.4,,1,,
ICD9CM:68.41,,2,,
ICD9CM:68.49,,2,,
ICD9CM:68.5,,1,,
ICD9CM:68.51,,2,,
ICD9CM:68.59,,2,,
ICD9CM:68.6,,1,,
ICD9CM:68.61,,2,,
ICD9CM:68.69,,2,,
ICD9CM:68.7,,1,,
ICD9CM:68.71,,2,,
ICD9CM:68.79,,2,,
ICD9CM:68.8,,1,,
ICD9CM:68.9,,1,,
ICD9CM:69,no fractional part,,,
ICD9CM:69.0,,1,,
ICD9CM:69.01,,2,,
ICD9CM:69.02,,2,,
ICD9CM:69.09,,2,,
ICD9CM:69.1,,1,,
ICD9CM:69.19,,2,,
ICD9CM:69.2,,1,,
ICD9CM:69.21,,2,,
ICD9CM:69.22,,2,,
ICD9CM:69.23,,2,,
ICD9CM:69.29,,2,,
ICD9CM:69.3,,1,,
ICD9CM:69.4,,1,,
ICD9CM:69.41,,2,,
ICD9CM:69.42,,2,,
ICD9CM:69.49,,2,,
ICD9CM:69.5,,1,,
ICD9CM:69.51,,2,,
ICD9CM:69.52,,2,,
ICD9CM:69.59,,2,,
ICD9CM:69.6,,1,,
ICD9CM:69.7,,1,,
ICD9CM:69.9,,1,,
ICD9CM:69.91,,2,,
ICD9CM:69.92,,2,,
ICD9CM:69.93,,2,,
ICD9CM:69.94,,2,,
ICD9CM:69.95,,2,,
ICD9CM:69.96,,2,,
ICD9CM:69.97,,2,,
ICD9CM:69.98,,2,,
ICD9CM:69.99,,2,,
ICD9CM:70,no fractional part,,,
ICD9CM:70.0,,1,,
ICD9CM:70.1,,1,,
ICD9CM:70.11,,2,,
ICD9CM:70.12,,2,,
ICD9CM:70.13,,2,,
ICD9CM:70.14,,2,,
ICD9CM:70.2,,1,,
ICD9CM:70.21,,2,,
ICD9CM:70.22,,2,,
ICD9CM:70.23,,2,,
ICD9CM:70.24,,2,,
ICD9CM:70.29,,2,,
ICD9CM:70.3,,1,,
ICD9CM:70.31,,2,,
ICD9CM:70.32,,2,,
ICD9CM:70.33,,2,,
ICD9CM:70.4,,1,,
ICD9CM:70.5,,1,,
ICD9CM:70.50,,2,,
ICD9CM:70.51,,2,,
ICD9CM:70.52,,2,,
ICD9CM:70.53,,2,,
ICD9CM:70.54,,2,,
ICD9CM:70.55,,2,,
ICD9CM:70.6,,1,,
ICD9CM:70.61,,2,,
ICD9CM:70.62,,2,,
ICD9CM:70.63,,2,,
ICD9CM:70.64,,2,,
ICD9CM:70.7,,1,,
ICD9CM:70.71,,2,,
ICD9CM:70.72,,2,,
ICD9CM:70.73,,2,,
ICD9CM:70.74,,2,,
ICD9CM:70.75,,2,,
ICD9CM:70.76,,2,,
ICD9CM:70.77,,2,,
ICD9CM:70.78,,2,,
ICD9CM:70.79,,2,,
ICD9CM:70.8,,1,,
ICD9CM:70.9,,1,,
ICD9CM:70.91,,2,,
ICD9CM:70.92,,2,,
ICD9CM:70.93,,2,,
ICD9CM:70.94,,2,,
ICD9CM:70.95,,2,,
ICD9CM:71,no fractional part,,,
ICD9CM:71.0,,1,,
ICD9CM:71.01,,2,,
ICD9CM:71.09,,2,,
ICD9CM:71.1,,1,,
ICD9CM:71.11,,2,,
ICD9CM:71.19,,2,,
ICD9CM:71.2,,1,,
ICD9CM:71.21,,2,,
ICD9CM:71.22,,2,,
ICD9CM:71.23,,2,,
ICD9CM:71.24,,2,,
ICD9CM:71.29,,2,,
ICD9CM:71.3,,1,,
ICD9CM:71.4,,1,,
ICD9CM:71.5,,1,,
ICD9CM:71.6,,1,,
ICD9CM:71.61,,2,,
ICD9CM:71.62,,2,,
ICD9CM:71.7,,1,,
ICD9CM:71.71,,2,,
ICD9CM:71.72,,2,,
ICD9CM:71.79,,2,,
ICD9CM:71.8,,1,,
ICD9CM:71.9,,1,,
ICD9CM:72,no fractional part,,,
ICD9CM:72.0,,1,,
ICD9CM:72.1,,1,,
ICD9CM:72.2,,1,,
ICD9CM:72.21,,2,,
ICD9CM:72.29,,2,,
ICD9CM:72.3,,1,,
ICD9CM:72.31,,2,,
ICD9CM:72.39,,2,,
ICD9CM:72.4,,1,,
ICD9CM:72.5,,1,,
ICD9CM:72.51,,2,,
ICD9CM:72.52,,2,,
ICD9CM:72.53,,2,,
ICD9CM:72.54,,2,,
ICD9CM:72.6,,1,,
ICD9CM:72.7,,1,,
ICD9CM:72.71,,2,,
ICD9CM:72.79,,2,,
ICD9CM:72.8,,1,,
ICD9CM:72.9,,1,,
ICD9CM:72-75.99,range,,,
ICD9CM:73,no fractional part,,,
ICD9CM:73.0,,1,,
ICD9CM:73.01,,2,,
ICD9CM:73.09,,2,,
ICD9CM:73.1,,1,,
ICD9CM:73.2,,1,,
ICD9CM:73.21,,2,,
ICD9CM:73.22,,2,,
ICD9CM:73.3,,1,,
ICD9CM:73.4,,1,,
ICD9CM:73.5,,1,,
ICD9CM:73.51,,2,,
ICD9CM:73.59,,2,,
ICD9CM:73.6,,1,,
ICD9CM:73.8,,1,,
ICD9CM:73.9,,1,,
ICD9CM:73.91,,2,,
ICD9CM:73.92,,2,,
ICD9CM:73.93,,2,,
ICD9CM:73.94,,2,,
ICD9CM:73.99,,2,,
ICD9CM:74,no fractional part,,,
ICD9CM:74.0,,1,,
ICD9CM:74.1,,1,,
ICD9CM:74.2,,1,,
ICD9CM:74.3,,1,,
ICD9CM:74.4,,1,,
ICD9CM:74.9,,1,,
ICD9CM:74.91,,2,,
ICD9CM:74.99,,2,,
ICD9CM:75,no fractional part,,,
ICD9CM:75.0,,1,,
ICD9CM:75.1,,1,,
ICD9CM:75.2,,1,,
ICD9CM:75.3,,1,,
ICD9CM:75.31,,2,,
ICD9CM:75.32,,2,,
ICD9CM:75.33,,2,,
ICD9CM:75.34,,2,,
ICD9CM:75.35,,2,,
ICD9CM:75.36,,2,,
ICD9CM:75.37,,2,,
ICD9CM:75.38,,2,,
ICD9CM:75.4,,1,,
ICD9CM:75.5,,1,,
ICD9CM:75.50,,2,,
ICD9CM:75.51,,2,,
ICD9CM:75.52,,2,,
ICD9CM:75.6,,1,,
ICD9CM:75.61,,2,,
ICD9CM:75.62,,2,,
ICD9CM:75.69,,2,,
ICD9CM:75.7,,1,,
ICD9CM:75.8,,1,,
ICD9CM:75.9,,1,,
ICD9CM:75.91,,2,,
ICD9CM:75.92,,2,,
ICD9CM:75.93,,2,,
ICD9CM:75.94,,2,,
ICD9CM:75.99,,2,,
ICD9CM:76,no fractional part,,,
ICD9CM:76.0,,1,,
ICD9CM:76.01,,2,,
ICD9CM:76.09,,2,,
ICD9CM:76.1,,1,,
ICD9CM:76.11,,2,,
ICD9CM:76.19,,2,,
ICD9CM:76.2,,1,,
ICD9CM:76.3,,1,,
ICD9CM:76.31,,2,,
ICD9CM:76.39,,2,,
ICD9CM:76.4,,1,,
ICD9CM:76.41,,2,,
ICD9CM:76.42,,2,,
ICD9CM:76.43,,2,,
ICD9CM:76.44,,2,,
ICD9CM:76.45,,2,,
ICD9CM:76.46,,2,,
ICD9CM:76.5,,1,,
ICD9CM:76.6,,1,,
ICD9CM:76.61,,2,,
ICD9CM:76.62,,2,,
ICD9CM:76.63,,2,,
ICD9CM:76.64,,2,,
ICD9CM:76.65,,2,,
ICD9CM:76.66,,2,,
ICD9CM:76.67,,2,,
ICD9CM:76.68,,2,,
ICD9CM:76.69,,2,,
ICD9CM:76.7,,1,,
ICD9CM:76.70,,2,,
ICD9CM:76.71,,2,,
ICD9CM:76.72,,2,,
ICD9CM:76.73,,2,,
ICD9CM:76.74,,2,,
ICD9CM:76.75,,2,,
ICD9CM:76.76,,2,,
ICD9CM:76.77,,2,,
ICD9CM:76.78,,2,,
ICD9CM:76.79,,2,,
ICD9CM:76.9,,1,,
ICD9CM:76.91,,2,,
ICD9CM:76.92,,2,,
ICD9CM:76.93,,2,,
ICD9CM:76.94,,2,,
ICD9CM:76.95,,2,,
ICD9CM:76.96,,2,,
ICD9CM:76.97,,2,,
ICD9CM:76.99,,2,,
ICD9CM:760,no fractional part,,,
ICD9CM:760.6,,1,,
ICD9CM:760.61,,2,,
ICD9CM:760.62,,2,,
ICD9CM:760.63,,2,,
ICD9CM:760.64,,2,,
ICD9CM:760.7,,1,,
ICD9CM:760.74,,2,,
ICD9CM:760.76,,2,,
ICD9CM:760.77,,2,,
ICD9CM:760.78,,2,,
ICD9CM:760-763.99,range,,,
ICD9CM:760-779.99,range,,,
ICD9CM:763,no fractional part,,,
ICD9CM:763.0,,1,,
ICD9CM:763.3,,1,,
ICD9CM:763.5,,1,,
ICD9CM:763.7,,1,,
ICD9CM:763.9,,1,,
ICD9CM:764-779.99,range,,,
ICD9CM:768,no fractional part,,,
ICD9CM:768.0,,1,,
ICD9CM:768.1,,1,,
ICD9CM:768.2,,1,,
ICD9CM:768.3,,1,,
ICD9CM:768.4,,1,,
ICD9CM:76-84.99,range,,,
ICD9CM:77,no fractional part,,,
ICD9CM:77.0,,1,,
ICD9CM:77.00,,2,,
ICD9CM:77.01,,2,,
ICD9CM:77.02,,2,,
ICD9CM:77.03,,2,,
ICD9CM:77.04,,2,,
ICD9CM:77.05,,2,,
ICD9CM:77.06,,2,,
ICD9CM:77.07,,2,,
ICD9CM:77.08,,2,,
ICD9CM:77.09,,2,,
ICD9CM:77.1,,1,,
ICD9CM:77.10,,2,,
ICD9CM:77.11,,2,,
ICD9CM:77.12,,2,,
ICD9CM:77.13,,2,,
ICD9CM:77.14,,2,,
ICD9CM:77.15,,2,,
ICD9CM:77.16,,2,,
ICD9CM:77.17,,2,,
ICD9CM:77.18,,2,,
ICD9CM:77.19,,2,,
ICD9CM:77.2,,1,,
ICD9CM:77.20,,2,,
ICD9CM:77.21,,2,,
ICD9CM:77.22,,2,,
ICD9CM:77.23,,2,,
ICD9CM:77.24,,2,,
ICD9CM:77.25,,2,,
ICD9CM:77.26,,2,,
ICD9CM:77.27,,2,,
ICD9CM:77.28,,2,,
ICD9CM:77.29,,2,,
ICD9CM:77.3,,1,,
ICD9CM:77.30,,2,,
ICD9CM:77.31,,2,,
ICD9CM:77.32,,2,,
ICD9CM:77.33,,2,,
ICD9CM:77.34,,2,,
ICD9CM:77.35,,2,,
ICD9CM:77.36,,2,,
ICD9CM:77.37,,2,,
ICD9CM:77.38,,2,,
ICD9CM:77.39,,2,,
ICD9CM:77.4,,1,,
ICD9CM:77.40,,2,,
ICD9CM:77.41,,2,,
ICD9CM:77.42,,2,,
ICD9CM:77.43,,2,,
ICD9CM:77.44,,2,,
ICD9CM:77.45,,2,,
ICD9CM:77.46,,2,,
ICD9CM:77.47,,2,,
ICD9CM:77.48,,2,,
ICD9CM:77.49,,2,,
ICD9CM:77.5,,1,,
ICD9CM:77.51,,2,,
ICD9CM:77.52,,2,,
ICD9CM:77.53,,2,,
ICD9CM:77.54,,2,,
ICD9CM:77.56,,2,,
ICD9CM:77.57,,2,,
ICD9CM:77.58,,2,,
ICD9CM:77.59,,2,,
ICD9CM:77.6,,1,,
ICD9CM:77.60,,2,,
ICD9CM:77.61,,2,,
ICD9CM:77.62,,2,,
ICD9CM:77.63,,2,,
ICD9CM:77.64,,2,,
ICD9CM:77.65,,2,,
ICD9CM:77.66,,2,,
ICD9CM:77.67,,2,,
ICD9CM:77.68,,2,,
ICD9CM:77.69,,2,,
ICD9CM:77.7,,1,,
ICD9CM:77.70,,2,,
ICD9CM:77.71,,2,,
ICD9CM:77.72,,2,,
ICD9CM:77.73,,2,,
ICD9CM:77.74,,2,,
ICD9CM:77.75,,2,,
ICD9CM:77.76,,2,,
ICD9CM:77.77,,2,,
ICD9CM:77.78,,2,,
ICD9CM:77.79,,2,,
ICD9CM:77.8,,1,,
ICD9CM:77.80,,2,,
ICD9CM:77.81,,2,,
ICD9CM:77.82,,2,,
ICD9CM:77.83,,2,,
ICD9CM:77.84,,2,,
ICD9CM:77.85,,2,,
ICD9CM:77.86,,2,,
ICD9CM:77.87,,2,,
ICD9CM:77.88,,2,,
ICD9CM:77.89,,2,,
ICD9CM:77.9,,1,,
ICD9CM:77.90,,2,,
ICD9CM:77.91,,2,,
ICD9CM:77.92,,2,,
ICD9CM:77.93,,2,,
ICD9CM:77.94,,2,,
ICD9CM:77.95,,2,,
ICD9CM:77.96,,2,,
ICD9CM:77.97,,2,,
ICD9CM:77.98,,2,,
ICD9CM:77.99,,2,,
ICD9CM:770,no fractional part,,,
ICD9CM:774,no fractional part,,,
ICD9CM:774.3,,1,,
ICD9CM:775,no fractional part,,,
ICD9CM:775.8,,1,,
ICD9CM:775.81,,2,,
ICD9CM:775.89,,2,,
ICD9CM:776,no fractional part,,,
ICD9CM:776.3,,1,,
ICD9CM:776.8,,1,,
ICD9CM:778,no fractional part,,,
ICD9CM:778.3,,1,,
ICD9CM:778.4,,1,,
ICD9CM:778.5,,1,,
ICD9CM:778.9,,1,,
ICD9CM:779,no fractional part,,,
ICD9CM:779.3,,1,,
ICD9CM:779.31,,2,,
ICD9CM:779.33,,2,,
ICD9CM:779.8,,1,,
ICD9CM:779.84,,2,,
ICD9CM:779.89,,2,,
ICD9CM:78,no fractional part,,,
ICD9CM:78.0,,1,,
ICD9CM:78.00,,2,,
ICD9CM:78.01,,2,,
ICD9CM:78.02,,2,,
ICD9CM:78.03,,2,,
ICD9CM:78.04,,2,,
ICD9CM:78.05,,2,,
ICD9CM:78.06,,2,,
ICD9CM:78.07,,2,,
ICD9CM:78.08,,2,,
ICD9CM:78.09,,2,,
ICD9CM:78.1,,1,,
ICD9CM:78.10,,2,,
ICD9CM:78.11,,2,,
ICD9CM:78.12,,2,,
ICD9CM:78.13,,2,,
ICD9CM:78.14,,2,,
ICD9CM:78.15,,2,,
ICD9CM:78.16,,2,,
ICD9CM:78.17,,2,,
ICD9CM:78.18,,2,,
ICD9CM:78.19,,2,,
ICD9CM:78.2,,1,,
ICD9CM:78.20,,2,,
ICD9CM:78.22,,2,,
ICD9CM:78.23,,2,,
ICD9CM:78.24,,2,,
ICD9CM:78.25,,2,,
ICD9CM:78.27,,2,,
ICD9CM:78.28,,2,,
ICD9CM:78.29,,2,,
ICD9CM:78.3,,1,,
ICD9CM:78.30,,2,,
ICD9CM:78.32,,2,,
ICD9CM:78.33,,2,,
ICD9CM:78.34,,2,,
ICD9CM:78.35,,2,,
ICD9CM:78.37,,2,,
ICD9CM:78.38,,2,,
ICD9CM:78.39,,2,,
ICD9CM:78.4,,1,,
ICD9CM:78.40,,2,,
ICD9CM:78.41,,2,,
ICD9CM:78.42,,2,,
ICD9CM:78.43,,2,,
ICD9CM:78.44,,2,,
ICD9CM:78.45,,2,,
ICD9CM:78.46,,2,,
ICD9CM:78.47,,2,,
ICD9CM:78.48,,2,,
ICD9CM:78.49,,2,,
ICD9CM:78.5,,1,,
ICD9CM:78.50,,2,,
ICD9CM:78.51,,2,,
ICD9CM:78.52,,2,,
ICD9CM:78.53,,2,,
ICD9CM:78.54,,2,,
ICD9CM:78.55,,2,,
ICD9CM:78.56,,2,,
ICD9CM:78.57,,2,,
ICD9CM:78.58,,2,,
ICD9CM:78.59,,2,,
ICD9CM:78.6,,1,,
ICD9CM:78.60,,2,,
ICD9CM:78.61,,2,,
ICD9CM:78.62,,2,,
ICD9CM:78.63,,2,,
ICD9CM:78.64,,2,,
ICD9CM:78.65,,2,,
ICD9CM:78.66,,2,,
ICD9CM:78.67,,2,,
ICD9CM:78.68,,2,,
ICD9CM:78.69,,2,,
ICD9CM:78.7,,1,,
ICD9CM:78.70,,2,,
ICD9CM:78.71,,2,,
ICD9CM:78.72,,2,,
ICD9CM:78.73,,2,,
ICD9CM:78.74,,2,,
ICD9CM:78.75,,2,,
ICD9CM:78.76,,2,,
ICD9CM:78.77,,2,,
ICD9CM:78.78,,2,,
ICD9CM:78.79,,2,,
ICD9CM:78.8,,1,,
ICD9CM:78.80,,2,,
ICD9CM:78.81,,2,,
ICD9CM:78.82,,2,,
ICD9CM:78.83,,2,,
ICD9CM:78.84,,2,,
ICD9CM:78.85,,2,,
ICD9CM:78.86,,2,,
ICD9CM:78.87,,2,,
ICD9CM:78.88,,2,,
ICD9CM:78.89,,2,,
ICD9CM:78.9,,1,,
ICD9CM:78.90,,2,,
ICD9CM:78.91,,2,,
ICD9CM:78.92,,2,,
ICD9CM:78.93,,2,,
ICD9CM:78.94,,2,,
ICD9CM:78.95,,2,,
ICD9CM:78.96,,2,,
ICD9CM:78.97,,2,,
ICD9CM:78.98,,2,,
ICD9CM:78.99,,2,,
ICD9CM:780,no fractional part,,,
ICD9CM:780.0,,1,,
ICD9CM:780.02,,2,,
ICD9CM:780.1,,1,,
ICD9CM:780.3,,1,,
ICD9CM:780.31,,2,,
ICD9CM:780.32,,2,,
ICD9CM:780.33,,2,,
ICD9CM:780.4,,1,,
ICD9CM:780.5,,1,,
ICD9CM:780.6,,1,,
ICD9CM:780.60,,2,,
ICD9CM:780.62,,2,,
ICD9CM:780.64,,2,,
ICD9CM:780.65,,2,,
ICD9CM:780.66,,2,,
ICD9CM:780.7,,1,,
ICD9CM:780.9,,1,,
ICD9CM:780.91,,2,,
ICD9CM:780.92,,2,,
ICD9CM:780.94,,2,,
ICD9CM:780.95,,2,,
ICD9CM:780.96,,2,,
ICD9CM:780.97,,2,,
ICD9CM:780-789.99,range,,,
ICD9CM:780-799.99,range,,,
ICD9CM:781,no fractional part,,,
ICD9CM:781.2,,1,,
ICD9CM:781.3,,1,,
ICD9CM:781.8,,1,,
ICD9CM:781.9,,1,,
ICD9CM:781.91,,2,,
ICD9CM:781.92,,2,,
ICD9CM:781.94,,2,,
ICD9CM:782,no fractional part,,,
ICD9CM:782.0,,1,,
ICD9CM:782.3,,1,,
ICD9CM:782.4,,1,,
ICD9CM:782.5,,1,,
ICD9CM:782.6,,1,,
ICD9CM:782.61,,2,,
ICD9CM:782.8,,1,,
ICD9CM:783,no fractional part,,,
ICD9CM:783.0,,1,,
ICD9CM:783.1,,1,,
ICD9CM:783.2,,1,,
ICD9CM:783.21,,2,,
ICD9CM:783.22,,2,,
ICD9CM:783.3,,1,,
ICD9CM:783.4,,1,,
ICD9CM:783.42,,2,,
ICD9CM:783.5,,1,,
ICD9CM:783.6,,1,,
ICD9CM:784,no fractional part,,,
ICD9CM:784.0,,1,,
ICD9CM:784.1,,1,,
ICD9CM:784.3,,1,,
ICD9CM:784.4,,1,,
ICD9CM:784.5,,1,,
ICD9CM:784.51,,2,,
ICD9CM:784.52,,2,,
ICD9CM:784.6,,1,,
ICD9CM:784.60,,2,,
ICD9CM:784.61,,2,,
ICD9CM:784.9,,1,,
ICD9CM:784.92,,2,,
ICD9CM:785,no fractional part,,,
ICD9CM:785.0,,1,,
ICD9CM:785.1,,1,,
ICD9CM:785.2,,1,,
ICD9CM:785.5,,1,,
ICD9CM:786,no fractional part,,,
ICD9CM:786.0,,1,,
ICD9CM:786.00,,2,,
ICD9CM:786.01,,2,,
ICD9CM:786.02,,2,,
ICD9CM:786.03,,2,,
ICD9CM:786.04,,2,,
ICD9CM:786.05,,2,,
ICD9CM:786.06,,2,,
ICD9CM:786.07,,2,,
ICD9CM:786.1,,1,,
ICD9CM:786.2,,1,,
ICD9CM:786.3,,1,,
ICD9CM:786.30,,2,,
ICD9CM:786.31,,2,,
ICD9CM:786.39,,2,,
ICD9CM:786.4,,1,,
ICD9CM:786.5,,1,,
ICD9CM:786.50,,2,,
ICD9CM:786.51,,2,,
ICD9CM:786.52,,2,,
ICD9CM:786.59,,2,,
ICD9CM:786.7,,1,,
ICD9CM:786.8,,1,,
ICD9CM:787,no fractional part,,,
ICD9CM:787.1,,1,,
ICD9CM:787.3,,1,,
ICD9CM:787.4,,1,,
ICD9CM:787.5,,1,,
ICD9CM:787.6,,1,,
ICD9CM:787.60,,2,,
ICD9CM:787.61,,2,,
ICD9CM:787.62,,2,,
ICD9CM:787.63,,2,,
ICD9CM:787.7,,1,,
ICD9CM:787.9,,1,,
ICD9CM:787.91,,2,,
ICD9CM:788,no fractional part,,,
ICD9CM:788.0,,1,,
ICD9CM:788.1,,1,,
ICD9CM:788.3,,1,,
ICD9CM:788.30,,2,,
ICD9CM:788.31,,2,,
ICD9CM:788.32,,2,,
ICD9CM:788.33,,2,,
ICD9CM:788.34,,2,,
ICD9CM:788.35,,2,,
ICD9CM:788.37,,2,,
ICD9CM:788.38,,2,,
ICD9CM:788.39,,2,,
ICD9CM:788.4,,1,,
ICD9CM:788.41,,2,,
ICD9CM:788.43,,2,,
ICD9CM:788.5,,1,,
ICD9CM:788.6,,1,,
ICD9CM:788.61,,2,,
ICD9CM:788.62,,2,,
ICD9CM:788.63,,2,,
ICD9CM:788.64,,2,,
ICD9CM:788.65,,2,,
ICD9CM:788.7,,1,,
ICD9CM:788.9,,1,,
ICD9CM:788.91,,2,,
ICD9CM:789,no fractional part,,,
ICD9CM:789.0,,1,,
ICD9CM:789.00,,2,,
ICD9CM:789.01,,2,,
ICD9CM:789.02,,2,,
ICD9CM:789.03,,2,,
ICD9CM:789.04,,2,,
ICD9CM:789.05,,2,,
ICD9CM:789.06,,2,,
ICD9CM:789.07,,2,,
ICD9CM:789.09,,2,,
ICD9CM:789.3,,1,,
ICD9CM:789.30,,2,,
ICD9CM:789.31,,2,,
ICD9CM:789.32,,2,,
ICD9CM:789.33,,2,,
ICD9CM:789.34,,2,,
ICD9CM:789.35,,2,,
ICD9CM:789.36,,2,,
ICD9CM:789.37,,2,,
ICD9CM:789.4,,1,,
ICD9CM:789.40,,2,,
ICD9CM:789.41,,2,,
ICD9CM:789.42,,2,,
ICD9CM:789.43,,2,,
ICD9CM:789.44,,2,,
ICD9CM:789.45,,2,,
ICD9CM:789.46,,2,,
ICD9CM:789.47,,2,,
ICD9CM:789.49,,2,,
ICD9CM:789.6,,1,,
ICD9CM:789.60,,2,,
ICD9CM:789.61,,2,,
ICD9CM:789.62,,2,,
ICD9CM:789.63,,2,,
ICD9CM:789.64,,2,,
ICD9CM:789.65,,2,,
ICD9CM:789.66,,2,,
ICD9CM:789.67,,2,,
ICD9CM:789.69,,2,,
ICD9CM:789.7,,1,,
ICD9CM:79,no fractional part,,,
ICD9CM:79.0,,1,,
ICD9CM:79.00,,2,,
ICD9CM:79.01,,2,,
ICD9CM:79.02,,2,,
ICD9CM:79.03,,2,,
ICD9CM:79.04,,2,,
ICD9CM:79.05,,2,,
ICD9CM:79.06,,2,,
ICD9CM:79.07,,2,,
ICD9CM:79.08,,2,,
ICD9CM:79.09,,2,,
ICD9CM:79.1,,1,,
ICD9CM:79.10,,2,,
ICD9CM:79.11,,2,,
ICD9CM:79.12,,2,,
ICD9CM:79.13,,2,,
ICD9CM:79.14,,2,,
ICD9CM:79.15,,2,,
ICD9CM:79.16,,2,,
ICD9CM:79.17,,2,,
ICD9CM:79.18,,2,,
ICD9CM:79.19,,2,,
ICD9CM:79.2,,1,,
ICD9CM:79.20,,2,,
ICD9CM:79.21,,2,,
ICD9CM:79.22,,2,,
ICD9CM:79.23,,2,,
ICD9CM:79.24,,2,,
ICD9CM:79.25,,2,,
ICD9CM:79.26,,2,,
ICD9CM:79.27,,2,,
ICD9CM:79.28,,2,,
ICD9CM:79.29,,2,,
ICD9CM:79.3,,1,,
ICD9CM:79.30,,2,,
ICD9CM:79.31,,2,,
ICD9CM:79.32,,2,,
ICD9CM:79.33,,2,,
ICD9CM:79.34,,2,,
ICD9CM:79.35,,2,,
ICD9CM:79.36,,2,,
ICD9CM:79.37,,2,,
ICD9CM:79.38,,2,,
ICD9CM:79.39,,2,,
ICD9CM:79.4,,1,,
ICD9CM:79.40,,2,,
ICD9CM:79.41,,2,,
ICD9CM:79.42,,2,,
ICD9CM:79.45,,2,,
ICD9CM:79.46,,2,,
ICD9CM:79.49,,2,,
ICD9CM:79.5,,1,,
ICD9CM:79.50,,2,,
ICD9CM:79.51,,2,,
ICD9CM:79.52,,2,,
ICD9CM:79.55,,2,,
ICD9CM:79.56,,2,,
ICD9CM:79.59,,2,,
ICD9CM:79.6,,1,,
ICD9CM:79.60,,2,,
ICD9CM:79.61,,2,,
ICD9CM:79.62,,2,,
ICD9CM:79.63,,2,,
ICD9CM:79.64,,2,,
ICD9CM:79.65,,2,,
ICD9CM:79.66,,2,,
ICD9CM:79.67,,2,,
ICD9CM:79.68,,2,,
ICD9CM:79.69,,2,,
ICD9CM:79.7,,1,,
ICD9CM:79.70,,2,,
ICD9CM:79.71,,2,,
ICD9CM:79.72,,2,,
ICD9CM:79.73,,2,,
ICD9CM:79.74,,2,,
ICD9CM:79.75,,2,,
ICD9CM:79.76,,2,,
ICD9CM:79.77,,2,,
ICD9CM:79.78,,2,,
ICD9CM:79.79,,2,,
ICD9CM:79.8,,1,,
ICD9CM:79.80,,2,,
ICD9CM:79.81,,2,,
ICD9CM:79.82,,2,,
ICD9CM:79.83,,2,,
ICD9CM:79.84,,2,,
ICD9CM:79.85,,2,,
ICD9CM:79.86,,2,,
ICD9CM:79.87,,2,,
ICD9CM:79.88,,2,,
ICD9CM:79.89,,2,,
ICD9CM:79.9,,1,,
ICD9CM:79.90,,2,,
ICD9CM:79.91,,2,,
ICD9CM:79.92,,2,,
ICD9CM:79.93,,2,,
ICD9CM:79.94,,2,,
ICD9CM:79.95,,2,,
ICD9CM:79.96,,2,,
ICD9CM:79.97,,2,,
ICD9CM:79.98,,2,,
ICD9CM:79.99,,2,,
ICD9CM:790,no fractional part,,,
ICD9CM:790.0,,1,,
ICD9CM:790.01,,2,,
ICD9CM:790.1,,1,,
ICD9CM:790.2,,1,,
ICD9CM:790.22,,2,,
ICD9CM:790.3,,1,,
ICD9CM:790.4,,1,,
ICD9CM:790.5,,1,,
ICD9CM:790.9,,1,,
ICD9CM:790.91,,2,,
ICD9CM:790.92,,2,,
ICD9CM:790.93,,2,,
ICD9CM:790.95,,2,,
ICD9CM:790-796.99,range,,,
ICD9CM:791,no fractional part,,,
ICD9CM:791.1,,1,,
ICD9CM:791.3,,1,,
ICD9CM:791.4,,1,,
ICD9CM:791.5,,1,,
ICD9CM:791.6,,1,,
ICD9CM:791.7,,1,,
ICD9CM:792,no fractional part,,,
ICD9CM:792.0,,1,,
ICD9CM:792.1,,1,,
ICD9CM:792.2,,1,,
ICD9CM:792.4,,1,,
ICD9CM:792.5,,1,,
ICD9CM:792.9,,1,,
ICD9CM:793,no fractional part,,,
ICD9CM:793.0,,1,,
ICD9CM:793.3,,1,,
ICD9CM:793.4,,1,,
ICD9CM:793.5,,1,,
ICD9CM:793.6,,1,,
ICD9CM:793.7,,1,,
ICD9CM:793.8,,1,,
ICD9CM:793.80,,2,,
ICD9CM:793.81,,2,,
ICD9CM:793.82,,2,,
ICD9CM:793.89,,2,,
ICD9CM:793.9,,1,,
ICD9CM:793.91,,2,,
ICD9CM:793.99,,2,,
ICD9CM:794,no fractional part,,,
ICD9CM:794.0,,1,,
ICD9CM:794.00,,2,,
ICD9CM:794.01,,2,,
ICD9CM:794.02,,2,,
ICD9CM:794.09,,2,,
ICD9CM:794.1,,1,,
ICD9CM:794.10,,2,,
ICD9CM:794.11,,2,,
ICD9CM:794.12,,2,,
ICD9CM:794.13,,2,,
ICD9CM:794.14,,2,,
ICD9CM:794.15,,2,,
